순번,기술명,특허 출원번호
410,광열효과가 우수한 그래핀 옥사이드 나노복합체 및 그 제조 방법,10-2014-0032384
411,금속도금 탄소섬유의 제조방법. ,10-2018-0018680
412,금속염화물 나노 건염이 포함된 마스크,10-2021-0035111
413,기능화된 탄소나노튜브에 의해 코팅된 탄소섬유와 그 코팅방법,10-2019-0136608
414,"내화충전조성물, 탄소복합체 및 내화충전 탄소복합체가 구비되는 슬리브 구조",10-2021-0174811
415,다시마 추출물 또는 푸코잔틴을 포함하는 간손상 보호 및 예방용 조성물,10-2017-0136246
416,"락토바실러스 속 균주를 유효성분으로 포함하는 암 진단, 예방 또는 치료용 조성물",10-2021-0079374
417,레이저 용접 장치 및 이를 이용한 레이저 용접 방법,10-2019-0066871
418,레진 커버를 이용하는 치아 교정 키트 및 몰드를 이용하는 치아 교정 키트,10-2019-0156104
419,메탄으로 카다베린의 대량 생산 가능한 형질전환 메탄자화균,10-2021-0045751
420,무기입자가 혼입된 항생제 함유 PVA 필름의 제조방법,10-2016-0123396
421,무분산제형 나노카본 분산기술,10-2021-0013166
422,미세먼지 광학특성 판단방법 및 미세먼지 분석장치,10-2019-0155487
423,미세먼지 및 도시열섬 저감을 위한 분사 시스템,10-2019-0068665
424,미세먼지 및 약물 흡입 독성 시험 장치,10-2016-0110708
425,바이오필름 및 이를 이용한 급이방법과 수질정화방법,10-2020-0055107
426,"발프로산 유도체, 이의 제조방법 및 이를 포함하는 항경련제",10-2017-0122502
427,복합재 구조물 제조방법 및 이를 이용하여 제조된 복합재 구조물,10-2020-0177669
428,"비쑥 추출물, 이의 분획물 또는 이로부터 분리한 화합물을 유효성분으로 포함하는 자외선에 의한 피부 손상 예방 또는 개선용 조성물",10-2021-0067728
429,사간 추출물을 유효성분으로 포함하는 퇴행성 뇌질환의 예방 또는 치료용 조성물,10-2017-0136246
430,산수유 추출물을 유효성분으로 포함하는 양성 전입선 비대증 예방 또는 치료용 조성물,10-2019-0150372
431,상처 치유 속도가 증대된 창상피복재 및 이의 제조방법,10-2020-0085683
432,세포 밖 소포체 분비량 향상 방법 및 이를 위한 시스템,10-2018-0084854
433,"손이 편해지는, 자동 미세 피커",10-2016-0159438
434,수산화리튬(LHM) 습식변환법으로 형상/입도 제어된 고순도 산화리튬(Li2O),10-2021-0016976
435,수용성 고분자 셀룰로오스 및 계면활성제를 포함하는 분진 침강용 버블 제조용 조성물,10-2019-0107571
436,신균주를 이용한 피부미백과 멜라닌 생성 억제 효능의 조성물 제조,10-2019-0061320
437,아선약 유래 알파-글루코시다아제 억제 활성을 갖는 신규한 화합물 및 이를 포함하는 약학적 조성물,10-2016-0164059
438,알지네이트 겔을 이용한 세포 마이크로캡슐화 기술,10-2019-0095933
439,액상 탈취제를 이용한 가축 악취 제거 장치,10-2021-0108257
440,엘라그산을 유효성분으로 포함하는 장내 미생물 개선용 조성물,10-2021-0019977
441,용존 일산화탄소 측정 바이오 센서,10-2018-0053083
442,웨어러블 스마트 안전의류 시스템,10-2018-0153160
443,유연하고 전기 전도성 및 기계적 물성이 뛰어난 3차원 구조의 금속-탄소 재료 복합체,10-2016-0135871
444,의이인 유래 정유를 함유하는 탈모 예방 또는 발모용 촉진물,10-2020-0046738
445,이황화몰리브덴을 이용한 수소가스 차단막 및 이의 제조방법,10-2018-0016233
446,저온 플라즈마를 이용한 폐수 내 질소 제거방법,10-2021-0163137
447,전도성 향상을 위한 탄소섬유의 결함개선방법 ,10-2019-0075289
448,천연 계면활성제를 함유하는 애완동물용 천연샴푸 조성물,10-2018-0005931
449,천연물인 수수꽃다리의 피부 상처 치료 및 항염 효과 조성물,10-2021-0028481
450,천연추출물을 유효성분으로 하는 근육 질환 개선 소재,10-2021-0002232
451,초음파 추출법을 이용한 금화규 추출물의 제조방법,10-2021-0085316
452,초정밀 자기연마를 이용한 비정형 또는 정형파이프의 내면 가공 장치,10-2020-0016808
453,축사의 축분 제거장치 ,10-2017-0173101
454,컴파운드 K 검출스트립,10-2021-0101894
455,코로나 19백신/치료제의 연구개발 및 제품화에 유용한 엑소좀 제조 및 평가방법,10-2021-0007351
456,코팅된 탄소섬유의 플라즈마 처리를 통한 기계적 물성이 우수한 탄소섬유,10-2019-0031047
457,콩 발효 추출물을 유효성분으로 포함하는 피부 주름 예방 또는 개선용 조성물,10-2019-0156671
458,특수 임펠러 기반의 신개념 습식 스크러버,10-2021-0028907
459,패혈증 예방이 가능한 옻나무 추출 당단백질을 포함하는 치료용 조성물,10-2019-0009412
460,"폐기물 쓰레기 처리 시스템(친환경 살균제, UV LED 및 플라즈몬 효과를 통한 3중 살균탈취 기술)",10-2021-0044421
461,피부 재생 및 개선 기능의 클렙시에라 뉴모니아 균주 조성물,10-2019-0093705
462,하이드록시인돌 화합물을 유효성분으로 함유하는 암 질환의 예방 및 치료를 위한 조성물,10-2017-0050485
463,해양 생물 유래 물질을 포함하는 골조직 재생용 지지체 및 이의 제조방법,10-2017-0152150
464,해양미세프라스틱 및 부유오염물질 대량포집시스템 설치 및 운영에 대한 기술,10-2018-0112455
465,형태 가변 고분자 촉각 소재의 제조방법,10-2020-0110959
466,화분 관리를 위한 급수기,10-2021-0102419
467,황화물 고체전해질 one-pot  합성기술,10-2021-0006268
468,Drawing 방식의 In-fill 패턴 기술을 구비한 3D프린터 모니터링 시스템,10-2020-0046177
469,LNG 벙커링 기자재 시험평가 설비,10-2018-0093180
470,고속도로 교통위반 단속을 위한 무인 비행체 경로 제어 방법,10-2018-0044382
471,근접센서를 이용한 시험기 고정상태 모니터링시스템,10-2018-0148203
472,다관절 로봇의 팔 보정 시스템,10-2020-0128755
473,대규모의 동적인 그래프를 위한 점진적 무손실 압축 기술,10-2020-0087574
474,디스플레이 및 반도체 공정에 사용되는 평면형 플라즈마 진단장치,10-2021-0022899
475,방열체 및 이를 이용한 ＬＥＤ 소자,10-2013-0025816
476,배터리 모니터링 시스템,10-2015-0036442
477,블록체인 프라이버시를 위한 영지식증명 기술,10-2019-0152716
478,비대면 협업을 위한 자막생성 및 회의록 관리기술,10-2021-0035460
479,비대칭 전력 분배기,10-2012-0054609
480,비대칭 코어-쉘 나노입자 구조에 기반한 산소환원용 전극촉매 및 그 제조방법,10-2018-0072009
481,비디오 영상에서의 물체 추적시스템,10-2018-0080661
482,산업현장 안전사고 예방을 위한 객체 검출기술 ,10-2020-0008410
483,섬망 중재 모바일 장치 및 섬망 중재 시스템,10-2020-0060579
484,수면 중 타겟 모니터링 장치 및 방법,10-2021-0058457
485,슈퍼 커패시터용 전극 및 이의 제조 방법,10-2016-0126467
486,실내용 경량 ·저비용 EMP 탐지기 설계 기술,10-2019-0001772
487,알약계수 이미지 프로세싱 방법,10-2021-0002503
488,"의료사고 방지, 반도체 시약, 화학공정 등에 적용 가능한 고정밀 열식 질량 유량계",10-2020-0117796
489,이동식 압력안전밸브 자동화 테스트 장치,10-2018-0152318
490,이동체의 위치 결정 방법 및 이동체의 위치 결정 시스템,10-2017-0110715
491,이중 가변 기반의 발진 광주파수 스캐닝 레이저 광원 및 그를 이용하는 측정장치,10-2019-0137600
492,재난 관측 모니터링 시스템 및 그 방법,10-2021-0157906
493,저가형 라이다 깊이정보의 업샘플링에 기반한 실내외 초고해상도 3차원 스캐닝 방법,10-2020-0175675
494,저사양 환경 시스템을 위한 실시간 동공 위치 검출 및 장치,10-2019-0078701
495,저온 소결이 가능한 전도성 잉크 및 우수한 전기전도성을 갖는 기판,10-2020-0162802
496,전복선박의 선체 평형상태 유지용 플로팅 에어백 장치,10-2019-0061474
497,접점 스위치를 이용한 시험기 고정상태 모니터링 시스템,10-2018-0148209
498,조도센서를 이용한 시험기 고정상태 모니터링 시스템,10-2018-0148212
499,컬러강화 이미지와 판정범위 기준값의 다중 적용을 이용하는 와이어 하네스 스마트 비전 검사 시스템 및 방법,10-2019-0091828
500,콜드체인 기반의 스마트 냉동냉장시스템,10-2019-0022846
501,플렉서블 디바이스 및 그 디바이스의 제조 방법,10-2018-0076615
502,"강황, 오디 또는 두충 추출물의 혼합물 포함하는 혈행개선 효능을 갖는 기능성 조성물",10-2021-0115019
503,고령층 맞춤형 편이식품 및 그 제조방법,10-2020-0047238
504,고압효소분해법으로 제조된 고함량 진세노사이드 화합물 K조성물 및 이를 활용한 면역증강용 조성물,10-2022-0001924
505,곤충단백질을 유효성분으로 하는 항비만 조성물,10-2018-0156738
506,기능성 사료 조성물의 제조 방법 및 이의 제조 방법에 의해 제조된 기능성 사료 조성물,10-2018-0118480
507,땅콩 오일 정제 방법,10-2021-0130792
508,레토르트용 삼계탕의 제조방법 및 이를 통해 제조된 3레토르트용 삼계탕,10-2021-0102628
509,아이스팩을 대용하는 냉동채소수 및 이의 제조방법,10-2018-0162442
510,장내 세균총에 유익한 효능을 가진 유산균을 활용한 면역력 향상 기능성 첨가물 및 그 제조방법,10-2021-0042929
511,항암성분 CLA를 함유하는 고기능성 한우고기 생산기술,10-2016-0055648
512,"해당화 추출물 활용, 면역 질환, 폐경기 증후군에는 해당화!",10-2021-0040266
513,히스타민 저감액젓 제조기술,10-2018-0041912
514,6축 구동형 3차원 인공지지체 제조장치,10-2018-0134485
515,"Biplanar X-Ray 기반 척추, 하지 골격 3D SSM모델 생성 및 분석기술 ",10-2019-0174040
516,PROX1 중화 항체 기반 망막재생 촉진 기술,10-2020-0078016
517,간암 진단을 위한 바이오마커 조성물,10-2020-0124545
518,광역 공간 내 집단 생체신호 측정 시스템,10-2021-0031475
519,광이미징기반 피부질환 진단기술,10-2016-0161800
520,글루코스 반응 형광 특성을 이용한 혈당 계측 시스템,10-2019-0103076
521,디지털 신호처리 기반 저비용 휴대용 초분광 영상 장치,10-2017-0077480
522,렌즈 형상의 약물 전달 시스템 및 이의 제조 방법,10-2020-0006621
523,블렌더를 이용한 당뇨병 관리 시스템,10-2019-0013326
524,비가압 손목 착용형 혈압 측정계 및 이것을 이용한 혈압 추정 방법,10-2019-0012893
525,비접촉 방식의 생체신호 측정방법 및 이를 이용한 생체신호 측정장치,10-2015-0159643
526,상처 치료 및 피부미용 광패치 기술,10-2017-0035961
527,안의료용 렌즈 조성물 및 그로부터 제조된 안의료용 렌즈,10-2018-0111688
528,운동보조 장치 방법 및 시스템,10-2018-0165060
529,의료영상기기용 모듈형 팬텀,10-2017-7017972
530,의료용 광섬유 펨토초 레이저 기술,10-2021-0053693
531,전염병 예방을 위한 현금출납기 매립형 자외선 조사 장치,10-2020-0051089
532,착용형 자궁 근전도 센서를 이용한 조산 예측 시스템,10-2017-0011354
533,초음파를 이용한 열처리 상태 검사장치 및 방법,10-2018-0126658
534,치매 진단 및 예측을 위한 심층학습 기반 PET 영상 분석 방법,10-2019-0011813
535,파워증폭기 능동 바이어스 회로 및 이를 포함하는 초고주파 의료 초음파 영상 시스템,10-2016-0091430
536,히스토그램과 딥 러닝을 이용한 출입자 체온 측정 방법 및 장치,10-2021-0012403
537,고전압 대용량 전력변환장치용 스너버,10-2019-0011318
538,냉동 탑차용 전력공급 시스템,10-2016-0039613
539,양방향 직류변환장치,10-2021-0003539
540,이차전지 양극 활물질 제조방법,10-2021-0176608
541,전기자동차 배터리용 커넥터의 구동방법 및 구동장치,10-2012-0071452
542,전기차 운영 방법,10-2020-0147987
543,전원 공급 장치,10-2015-0112456
544,차량의 전후방 충돌 회피 제어 장치 및 방법,10-2021-0044727
545,택배 차량용 디젤 트럭의  하이브리드 개조 기술 개발 및 실용화 기술,10-2019-0127532
546,라이다기반 자율주행 인지 및 예측 인공지능 기술,10-2018-0150888
547,부분 자율주행 차량 제어권 전환 알림장치 및 방법,10-2018-0084234
548,스마트기기를 이용한 협로 주행제어 편의 시스템,10-2015-0013069
549,운전자 위험도 추정 시스템,10-2019-0087294
550,차량 주행 중 발전기 이상 감지 및 경고시스템과 이를 이용한 차량 주행 중 발전기 이상 감지 및 경고 방법,10-2019-0070760
551,AI기반 비자각 멀티모달 바이오인식 기술,10-2020-0050048
552,기계학습 기반의 영상 인식 방법 및 기계학습 기반의 영상 인식 시스템,10-2018-0078910
553,다종 콘텐츠 환경에서 딥러닝 기반의 워터마크를 실행하기 위한 장치 및 이를 위한 방법,10-2019-0178551
554,동작의도 반영 착용형 근육제어 시스템,10-2018-0143610
555,딥러닝 기반의 영상인식 핵심기술,10-2018-0078599
556,사용자 기반의 보안관제 전용 인공지능 자동화 플랫폼,10-2018-0142166
557,순환형  인공지능  서비스  플랫폼의  동작  방법  및 순환형  인공지능  서비스  플랫폼  장비,10-2020-0186861
558,에어모터를 이용한 오염감지 자동청소로봇,10-2016-0120656
559,원격 양방향 상호작용 가능한 홀로그래픽 AI 오피스 서비스 사업화,10-2016-0054868
560,인공지능 기반 사용자 맞춤형 음식 정보 제공 시스템 및 방법,10-2021-0176778
561,잡음 환경에서 주변 픽셀 값을 이용한 이미지 오류 완화 방법,10-2017-0007303
562,개방형 데이터 허브 핵심 기술 V2 ,10-2020-0170704
563,교통량  분석장치  및 교통량  분석방법,10-2019-0175783
564,논문  초록  문장과  PDF 본문  문장  비교  요약서비스  시스템,10-2020-0146584
565,드론 및 딥러닝을 활용한 교량의 구성요소별 3D 모델 자동 생성 방법 및 장치,10-2021-0020646
566,빅데이터 AI기반 스마트팜 Total-Solution 서비스,10-2005-0041785
567,식생정보를 이용한 식물 재배 장치,10-2017-0043574
568,5G주파수 필터,10-2020-0056959
569,가상 현실을 이용한 심리 치료 방법 및 이를 실행하는 장치,10-2016-0117481
570,"레이더 센서를 이용한 생체신호 처리장치 및 방법,운전 중 졸음 및 생체 위험 감지 기술",10-2019-0144981
571,멀티 도메인 공공 안전 서비스용 무선통신 모듈 개발 ,10-2018-0137464
572,모바일 로봇의 초기 위치 추정을 위한 장치 및 방법,10-2019-0000713
573,무선센서 네트워크를 이용한 수질관리 시스템,10-2017-0021310
574,분포형 광섬유 자외선 감지센서,10-2019-0062512
575,쉰 목소리를 정상 목소리로 개선하는 방법,10-2016-0053802
576,스마트 HSE 플랫폼기술 ,10-2018-0054488
577,영상인식을 이용한 자전거의 전방추돌 경고 시스템,10-2021-0100414
578,웹 기반 용접 절차 시방서 작성 방법 및 작성 시스템,10-2016-0107201
579,이동통신 시스템에서 단말의 위치추정 방법 및 장치,10-2019-0096344
580,클라우드 기반의 인공자능 연산 서비스 방법 및 이를 수행하는 장치,10-2018-0072782
581,헬멧과 스마트폰을 이용한 이륜차 사고 알림 시스템,10-2017-0087062
582,고부가가치 식물 실내 재배 기술,10-2021-0052095
583,사물인터넷용 이동식 장치를 이용한 사물인터넷,10-2017-0024379
584,사물표면에서 상대좌표 기반으로 2차원 가상 이미지 공간을 탐색하는 상호작용 장치,10-2019-0141852
585,스마트 미러(사용자의 감정을 고려한 맞춤형 테라피를 제공하는 스마트 미러),10-2021-0026579
586,오존분사기를 이용한 무인 자동 방역 시스템 및 그 방법,10-2020-0128394
587,유아 감정상태 분석 방법 및 이를 이용한 심리상태 분석 시스템과 스마트폰 연동 앱,10-2015-0156408
588,유연 연전소자를 갖는 웨어러블 장치,10-2018-0174244
589,이기종 센서 융합형 화재감시 솔루션,10-2020-0179384
590,인간-로봇 상호작용을 위한 영상 기반 소프트 촉각센서,10-2013-0026570
591,자율적 IoT 서비스 운용 및 관리를 위한 Edge 환경의 IoT 시스템,10-2021-0094042
592,적응형 후미 LED 조명확산시스템 및 이의 제어방법,10-2017-0016166
593,착용형 디스플레이를 이용한 인지기능 개선 장치,10-2020-0001891
594,고체수소 저장탱크를 구비한 독립형 부유식 해상풍력발전 시스템,10-2021-0077283
595,금속칼코지나이드 화합물로 개질된 N형 반도체를 갖는 태양전지의 제조방법 및 이로부터 수득되는 태양전지,10-2019-0050829
596,라이다 기반의 차량 주행 가능 영역 검출장치 및 방법,10-2018-0160624
597,밀폐형 조류발전장치,10-2018-0011532
598,자가 회전식 해일 및 파랑 방호벽,10-2019-7034267
599,태양광 CDI 정수기 기술,10-2020-0175692
600,태양광 발전과 태양열 이용이 동시에 가능한 외단열 시스템,10-2019-0029895
601,태양전지 보호 기판 코팅용 플라즈마 표면처리 장치,10-2017-0152738
602,태양전지 패널용 청소로봇장치 제어 시스템,10-2015-0190054
603,풍력 · 수력 발전기 내 지지판을 위한 로프-컨베이어,08974181(미국)
604,내식성이 강화된 견고하고 화학적으로 안정한 초소수성 표면을 갖는 알루미늄 기판,10-2017-0097758
605,내압 방폭형 전동기의 회전자 구조,10-2019-0069258
606,고효율 저차압 집진기술,10-2021-0088274
607,광 가교형 고분자 응집제 조성물,10-2019-0060760
608,로봇 관절용 와이어 연결구조,10-2018-0084036
609,발전기 원격 모니터링 및 제어 시스템과 그 방법,10-2018-0084691
610,용융 공정을 통해 제조된 생분해성 수지,10-2021-0045681
611,이산화탄소 환원용 촉매전극과 이의 제조방법,10-2019-0036158
612,지속적 사용이 가능한 새로운 염색 폐수 처리방법 및 시스템,10-2019-0065846
613,해수를 이용한 고순도 아라고나이트형 탄산칼슘의 제조 방법,10-2019-0068784
614,LNG 연료 공급 장치,10-2019-0061597
615,고소작업차 전장 보조시스템,10-2021-0087114
616,고차음 및 고내화 건축·선박용 패널,10-2019-0052724
617,다양한 진동 스펙트럼 패턴에 대응 가능한 주파수 영역의 피로 손상도 계산방법,10-2017-0089056
618,로직밸브가  설치된 유압장치,10-2021-0087115
619,무인선 에너지 확보를 위한 파력 추진 복합 소출력 발전시스템 ,10-2019-0140816
620,발전시스템과 댐핑 장치가 구비된 선박용 자이로 스테빌라이저 및 이의 제어 방법,10-2016-0110958
621,선박용 모듈형 LNG 연료 공급 시스템,10-2018-0149762
622,선박용 자이로 스테빌라이저의 플라이휠 제어 시스템 및 이의 제어 방법,10-2016-0110946
623,세일요트용 능동형 돛 제어시스템 및 이를 구비한 세일요트,10-2017-0159873
624,스마트센서를 활용한 능동형 공기정화 시스템 및 방법,10-2021-0108727
625,액화연료 추진어선의 어창 냉각 시스템,10-2019-0172117
626,액화천연가스의 냉열을 이용한 선박용 냉각시스템 및 그의 제어방법,10-2018-0112629
627,열변색층에 가해지는 에너지를 균일하게 유지시킬 수 있는 광소결 장치 및 광학 적층제,10-2019-0147794
628,용접결함의 문제점을 해결한 선박 설치용 포터블탱크,10-2020-0000600
629,자율운항 선박의 경제 운항 솔루션 개발을 위한 방법 및 장치,10-2020-0036547
630,차량에 설치되는 화물 적재장치,10-2021-0158033
631,차량의 유리를 이용한 전기자동차의 무접점 충전장치,10-2015-0122005
632,파워팩을 적용한 수평 유지기술,10-2021-0103063
633,Sediment 미생물연료전지,10-2014-0073798
634,생물학적 C1 가스 전환 공정을 위한 생물전기화학반응기 및 이를 이용한 공정방법,10-2018-0117357
635,수소 생산 장치를 구비한 LNG 운반선,10-2019-0069256
636,수소 정제 장치를 포함하는 부생수소 운반선,10-2019-0086755
637,수소연료전지 추진 선박의 압축 수소 연료공급 방법,10-2020-0166248
638,음식물쓰레기 분해 혼합균주 및 이를 이용한 음식물쓰레기 분해 방법,10-2018-0035254
639,제조합 HcRNAV 34 바이러스 유사 입자 단백질을 발현하는 형질전환 담배,10-2014-0114211
